appId,appName,rank,cateId,cateName,tradeId,tradeName,developCompanyId,developCompanyAbbr,developCompanyFullName,monthActiveNums,monthActiveNumsRatio,dayActiveNums,dayActiveNumsRatio,status,statDateStr,monthStatDate,dayStatDate
2936966,58速运,1776,104,生活,1111120,快递/配送,26,58同城,北京五八信息技术有限公司,60.1532079533,-0.08899075647325103,,,1,,1543593600000,
2898944,小Q画笔,1777,103,摄影摄像,1031028,拍照及图片处理,1,腾讯科技,深圳市腾讯计算机系统有限公司,60.15191876,-0.06889642079403675,,,1,,1543593600000,
2705559,京东钱包,1778,122,金融,1221198,支付,19,京东,北京京东世纪商贸有限公司,60.1443933,-0.04736081319136518,,,1,,1543593600000,
2031270,189邮箱,1779,102,商务办公,1021020,邮箱,218,世纪龙,世纪龙信息网络有限责任公司,60.1228562,-0.051160724103466323,,,1,,1543593600000,
7930612,宝宝启蒙入门课,1780,101,教育,1011007,儿童教育,,,,60.04289111,-0.022166574826515736,,,1,,1543593600000,
2954626,小米投屏神器,1781,126,智能硬件,1261247,智能家居,6928,小米数码,北京小米数码科技有限公司,59.95756571,0.024555311162572178,,,1,,1543593600000,
2008322,MX Player,1782,108,视频,1081086,视频播放器,6623,北京宁威,北京宁威软件有限公司,59.9328673767,0.05589602532140815,6.40195895531,0.028636788120302334,1,,1543593600000,1548691200000
6848153,绝地求生手游助手,1783,129,游戏媒体,1291075,游戏工具,1,腾讯科技,深圳市腾讯计算机系统有限公司,59.6811594033,0.031962187530208554,,,1,,1543593600000,
3083141,智慧人社,1784,104,生活,1041036,招聘求职,11652,创智和宇,长沙创智和宇信息技术有限公司,59.67792065,0.0625042159590593,,,1,,1543593600000,
2568304,中信建投通用版,1785,122,金融,1221200,证券服务应用,5798,中信建投证券,中信建投证券股份有限公司,59.6424256967,-0.06812476935160608,,,1,,1543593600000,
7072248,宝宝梦想小镇,1786,101,教育,1011007,儿童教育,2100,福州智永,福州智永信息科技有限公司,59.6387338433,0.33004541947769556,,,1,,1543593600000,
2870948,观察者,1787,134,资讯,1341002,网络媒体,12650,观察者,上海观察者信息技术有限公司,59.5785372533,0.07502238278441944,,,1,,1543593600000,
4280089,腾讯独播剧,1788,108,视频,1081083,聚合视频/视频导航,,,,59.49088807,-0.11621697242071113,1.80078556084,-0.0027594590038549833,1,,1543593600000,1548691200000
2788216,礼物说,1789,120,移动购物,1201177,综合电商,6506,礼物说,北京礼物说科技有限公司,59.4277730733,0.011386959336175988,,,1,,1543593600000,
3036983,浏览器(com.browser_llqhz),1790,113,浏览器,1131126,浏览器,,,,59.4111522133,-0.008746559790280767,11.707975842,-0.03227849821371706,1,,1543593600000,1548691200000
2632549,掌上新华,1791,122,金融,1221205,保险服务,2565,新华人寿保险,新华人寿保险股份有限公司,59.3968512933,-0.028388423680072827,,,1,,1543593600000,
2010734,Adobe Acrobat DC,1792,115,系统工具,1021014,文件管理,,,,59.3872191,-0.018565297484399907,,,1,,1543593600000,
3180659,影视大全(net.tvfanqie.video),1793,108,视频,1081083,聚合视频/视频导航,6210,北京丰余,北京丰余科技有限公司,59.38502118,0.1334139000251537,18.7354872909,0.001647506814821881,1,,1543593600000,1548691200000
6489522,趣看天下,1794,134,资讯,1341004,信息流资讯,51058,沿汇传播,上海沿汇文化传播有限公司,59.06788507,0.10348570845970077,36.9330091981,-0.03670005295647265,1,,1543593600000,1548691200000
